round,total_keys,inserts_per_sec
0,1000000,1461086
1,2000000,1372067
2,3000000,1501735
3,4000000,1383179
4,5000000,1108574
5,6000000,1198488
6,7000000,1191764
7,8000000,1160324
8,9000000,1214899
9,10000000,1540198
10,11000000,1167325
11,12000000,1286505
12,13000000,1169171
13,14000000,1120338
14,15000000,1190163
15,16000000,612647
16,17000000,1343502
17,18000000,405136
18,19000000,1301736
19,20000000,1436570
20,21000000,335866
21,22000000,1215170
22,23000000,1213293
23,24000000,1108014
24,25000000,1263947
25,26000000,1165225
26,27000000,1190582
27,28000000,1281968
28,29000000,1227837
29,30000000,490321
30,31000000,1275843
31,32000000,1157940
32,33000000,690406
33,34000000,1128664
34,35000000,398097
35,36000000,1183882
36,37000000,317601
37,38000000,1341167
38,39000000,1447703
39,40000000,251114
40,41000000,1468336
41,42000000,1409979
42,43000000,233953
43,44000000,1622951
44,45000000,1474222
45,46000000,197535
46,47000000,1149987
47,48000000,1156826
48,49000000,221782
49,50000000,1313388
50,51000000,1260867
51,52000000,1344343
52,53000000,207939
53,54000000,1580903
54,55000000,1532790
55,56000000,186866
56,57000000,1143033
57,58000000,1157525
58,59000000,1179209
59,60000000,226087
60,61000000,1121285
61,62000000,1131350
62,63000000,219611
63,64000000,1058821
64,65000000,1085398
65,66000000,1357291
66,67000000,224016
67,68000000,1480720
68,69000000,1460608
69,70000000,194812
70,71000000,1119020
71,72000000,1363678
72,73000000,193347
73,74000000,1392700
74,75000000,1327956
75,76000000,169694
76,77000000,1392496
77,78000000,1219533
78,79000000,1269558
79,80000000,165264
80,81000000,1142881
81,82000000,1313130
82,83000000,160640
83,84000000,1151282
84,85000000,1089847
85,86000000,1399981
86,87000000,158958
87,88000000,1320643
88,89000000,1293561
89,90000000,1417956
90,91000000,154107
91,92000000,1437240
92,93000000,1497795
93,94000000,111090
94,95000000,743848
95,96000000,720104
96,97000000,641905
97,98000000,91526
98,99000000,685006
99,100000000,688159
100,101000000,669735
101,102000000,121654
102,103000000,1227180
103,104000000,1208670
104,105000000,158274
105,106000000,573178
106,107000000,1287599
107,108000000,1201641
108,109000000,124967
109,110000000,1138727
110,111000000,830604
111,112000000,754004
112,113000000,100347
113,114000000,1168121
114,115000000,1116429
115,116000000,1065962
116,117000000,107051
117,118000000,731884
118,119000000,758138
119,120000000,684172
120,121000000,87733
121,122000000,673443
122,123000000,612824
123,124000000,660113
124,125000000,85161
125,126000000,404475
126,127000000,325750
127,128000000,89486
128,129000000,214542
129,130000000,687163
130,131000000,474109
131,132000000,191331
132,133000000,301688
133,134000000,338941
134,135000000,216708
135,136000000,433877
136,137000000,307659
137,138000000,241412
138,139000000,203113
139,140000000,356923
140,141000000,461691
141,142000000,188461
142,143000000,285326
143,144000000,704363
144,145000000,173592
145,146000000,173217
146,147000000,199526
147,148000000,302160
148,149000000,213984
149,150000000,276253
150,151000000,174522
151,152000000,279708
152,153000000,178251
153,154000000,276857
154,155000000,203903
155,156000000,225274
156,157000000,255496
157,158000000,205860
158,159000000,236479
159,160000000,129612
160,161000000,748963
161,162000000,439884
162,163000000,273585
163,164000000,656104
164,165000000,167402
165,166000000,608344
166,167000000,221954
167,168000000,169021
168,169000000,208601
169,170000000,201474
170,171000000,710114
171,172000000,190988
172,173000000,333831
173,174000000,188935
174,175000000,172825
175,176000000,271310
176,177000000,1037594
177,178000000,307593
178,179000000,228537
179,180000000,343457
180,181000000,406324
181,182000000,256434
182,183000000,1396397
183,184000000,230288
184,185000000,484532
185,186000000,296263
186,187000000,470921
187,188000000,344030
188,189000000,307404
189,190000000,324366
190,191000000,350647
191,192000000,324171
192,193000000,243204
193,194000000,331685
194,195000000,420380
195,196000000,330125
196,197000000,367431
197,198000000,305216
198,199000000,368247
199,200000000,361633
